Province/State,Country,Region,Lat,Long,ConfirmedCases,RecoveredCases,Deaths
,Czech Republic,Europe & Central Asia,49.8175,15.473,14570,9144,364
Faroe Islands,Denmark,Europe & Central Asia,61.8926,-6.9118,191,188,1
Greenland,Denmark,Europe & Central Asia,71.7069,-42.6043,13,13,1
,Denmark,Europe & Central Asia,56.2639,9.5018,13350,12274,611
,Djibouti,Middle East & North Africa,11.8251,42.5903,5030,4904,58
,Dominican Republic,Latin America & Caribbean,18.7357,-70.1627,56043,26466,1005
,Ecuador,Latin America & Caribbean,-1.8312,-78.1834,77257,33125,5418
,Egypt,Middle East & North Africa,26.820553,30.802498,89745,30075,4440
,El Salvador,Latin America & Caribbean,13.7942,-88.8965,12975,7119,363
,Equatorial Guinea,Sub-Saharan Africa,1.6508,10.2679,3071,842,51
,Eritrea,Sub-Saharan Africa,15.1794,39.7823,251,155,1
,Estonia,Europe & Central Asia,58.5953,25.0136,2025,1912,69
,Eswatini,Sub-Saharan Africa,-26.5225,31.4659,1938,876,25
,Ethiopia,Sub-Saharan Africa,9.145,40.4897,11524,5506,188
,Fiji,East Asia & Pacific,-17.7134,178.065,27,18,1
,Finland,Europe & Central Asia,61.92411,25.748151,7362,6920,328
French Guiana,France,Europe & Central Asia,3.9339,-53.1258,6883,5277,39
French Polynesia,France,Europe & Central Asia,-17.6797,149.4068,62,60,1
Guadeloupe,France,Europe & Central Asia,16.265,-61.551,195,172,14
Mayotte,France,Europe & Central Asia,-12.8275,45.166244,2839,2614,38
New Caledonia,France,Europe & Central Asia,-20.904305,165.618042,22,21,1
Reunion,France,Europe & Central Asia,-21.1151,55.5364,645,558,3
Saint Barthelemy,France,Europe & Central Asia,17.9,-62.8333,6,6,1
St Martin,France,Europe & Central Asia,18.0708,-63.0501,46,39,3
Martinique,France,Europe & Central Asia,14.6415,-61.0242,262,98,15
,France,Europe & Central Asia,46.2276,2.2137,204641,71238,30063
,Gabon,Sub-Saharan Africa,-0.8037,11.6094,6588,4235,47
,Gambia,Sub-Saharan Africa,13.4432,-15.3101,146,57,5
,Georgia,Europe & Central Asia,42.3154,43.3569,1073,907,16
,Germany,Europe & Central Asia,51.165691,10.451526,204276,188628,9102
,Ghana,Sub-Saharan Africa,7.9465,-1.0232,29672,26090,153
,Greece,Europe & Central Asia,39.0742,21.8243,4077,1374,200
,Guatemala,Latin America & Caribbean,15.7835,-90.2308,41135,27756,1573
,Guinea,Sub-Saharan Africa,9.9456,-9.6966,6747,5891,41
,Guyana,Latin America & Caribbean,4.860416,-58.93018,350,165,19
,Haiti,Latin America & Caribbean,18.9712,-72.2852,7167,4095,154
,Honduras,Latin America & Caribbean,15.2,-86.2419,36102,4315,1006
,Hungary,Europe & Central Asia,47.1625,19.5033,4366,3283,596
,Iceland,Europe & Central Asia,64.9631,-19.0208,1840,1822,10
,India,South Asia,20.593684,78.96288,1238798,782607,29861
,Indonesia,East Asia & Pacific,-0.7893,113.9213,91751,50255,4459
,Iran,Middle East & North Africa,32.427908,53.688046,281413,244840,14853
,Iraq,Middle East & North Africa,33.223191,43.679291,99865,67147,4042
,Ireland,Europe & Central Asia,53.1424,-7.6921,25819,23364,1754
,Israel,Middle East & North Africa,31.046051,34.851612,56085,23310,430
,Italy,Europe & Central Asia,41.87194,12.56738,245032,197628,35082
,Jamaica,Latin America & Caribbean,18.1096,-77.2975,816,710,10
,Japan,East Asia & Pacific,36.204824,138.252924,27136,20482,990
,Jordan,Middle East & North Africa,31.24,36.51,1120,1035,11
,Kazakhstan,Europe & Central Asia,48.0196,66.9237,75153,46790,585
,Kenya,Sub-Saharan Africa,-0.0236,37.9062,14805,6757,260
,South Korea,East Asia & Pacific,35.907757,127.766922,13938,12758,297
,Kuwait,Middle East & North Africa,29.31166,47.481766,61185,51520,417
,Kyrgyzstan,Europe & Central Asia,41.20438,74.766098,28980,15536,1111
,Latvia,Europe & Central Asia,56.8796,24.6032,1197,1045,31
,Lebanon,Middle East & North Africa,33.8547,35.8623,3104,1607,43
,Liberia,Sub-Saharan Africa,6.428055,-9.429499,1114,592,70
,Liechtenstein,Europe & Central Asia,47.14,9.55,86,81,1
,Lithuania,Europe & Central Asia,55.1694,23.8813,1951,1607,80
,Luxembourg,Europe & Central Asia,49.8153,6.1296,5854,4530,111
,Madagascar,Sub-Saharan Africa,-18.766947,46.869107,8162,4662,69
,Malaysia,East Asia & Pacific,4.210484,101.975766,8831,8566,123
,Maldives,South Asia,3.2028,73.2207,3103,2397,15
,Malta,Middle East & North Africa,35.9375,14.3754,679,665,9
,Mauritania,Sub-Saharan Africa,21.0079,-10.9408,6027,3977,155
,Mauritius,Sub-Saharan Africa,-20.348404,57.552152,343,332,10
,Mexico,Latin America & Caribbean,23.6345,-102.5528,362274,270147,41190
,Moldova,Europe & Central Asia,47.4116,28.3699,21798,14856,712
,Monaco,Europe & Central Asia,43.7333,7.4167,112,100,4
,Mongolia,East Asia & Pacific,46.8625,103.8467,287,214,1
,Montenegro,Europe & Central Asia,42.708678,19.37439,2472,426,39
,Morocco,Middle East & North Africa,31.7917,-7.0926,17962,15636,285
,Mozambique,Sub-Saharan Africa,-18.6657,35.5296,1,523,1
,Namibia,Sub-Saharan Africa,-22.9576,18.4904,1402,64,7
,Nepal,South Asia,28.1667,84.25,18094,12684,42
Aruba,Netherlands,Europe & Central Asia,12.5211,-69.9683,117,100,3
Curacao,Netherlands,Europe & Central Asia,12.1696,-68.99,28,24,1
Sint Maarten,Netherlands,Europe & Central Asia,18.0425,-63.0548,79,63,15
,Netherlands,Europe & Central Asia,52.1326,5.2913,52241,1,6139
,New Zealand,East Asia & Pacific,-40.9006,174.886,1555,1511,22
,Nicaragua,Latin America & Caribbean,12.865416,-85.207229,3439,2492,108
,Niger,Sub-Saharan Africa,17.607789,8.081666,1122,1018,69
,Nigeria,Sub-Saharan Africa,9.082,8.6753,38344,15815,813
,North Macedonia,Europe & Central Asia,41.6086,21.7453,9547,5071,442
,Norway,Europe & Central Asia,60.472,8.4689,9059,8138,255
,Oman,Middle East & North Africa,21.512583,55.923255,71547,47922,349
,Pakistan,South Asia,30.3753,69.3451,269191,213175,5709
,Panama,Latin America & Caribbean,8.538,-80.7821,55906,31122,1180
,Papua New Guinea,East Asia & Pacific,-6.314993,143.95555,30,8,1
,Paraguay,Latin America & Caribbean,-23.4425,-58.4438,4000,2391,36
,Peru,Latin America & Caribbean,-9.19,-75.0152,366550,252246,13767
,Philippines,East Asia & Pacific,12.879721,121.774017,72269,23623,1843
,Poland,Europe & Central Asia,51.9194,19.1451,41162,31139,1642
,Portugal,Europe & Central Asia,39.3999,-8.2245,49150,33999,1702
,Qatar,Middle East & North Africa,25.3548,51.1839,107871,104641,163
,Romania,Europe & Central Asia,45.9432,24.9668,40163,24663,2101
,Russia,Europe & Central Asia,61.52401,105.318756,787890,571049,12726
,Rwanda,Sub-Saharan Africa,-1.9403,29.8739,1689,867,5
,San Marino,Europe & Central Asia,43.9424,12.4578,699,656,42
,Saudi Arabia,Middle East & North Africa,23.885942,45.079162,258156,210398,2601
,Senegal,Sub-Saharan Africa,14.4974,-14.4524,9121,6108,177
,Serbia,Europe & Central Asia,44.0165,21.0059,22031,1,499
,Seychelles,Sub-Saharan Africa,-4.6796,55.492,108,27,1
,Singapore,East Asia & Pacific,1.2833,103.8333,48744,44795,27
,Slovakia,Europe & Central Asia,48.669,19.699,2058,1556,28
,Slovenia,Europe & Central Asia,46.1512,14.9955,2006,1648,115
,Somalia,Sub-Saharan Africa,5.152149,46.199616,3161,1495,93
,South Africa,Sub-Saharan Africa,-30.5595,22.9375,394948,229175,5940
,Spain,Europe & Central Asia,40.463667,-3.74922,267551,150376,28426
,Sri Lanka,South Asia,7.873054,80.771797,2752,2064,11
,Sudan,Sub-Saharan Africa,12.8628,30.2176,11237,5835,708
,Suriname,Latin America & Caribbean,3.9193,-56.0278,1176,739,21
,Sweden,Europe & Central Asia,60.128161,18.643501,78504,1,5667
,Switzerland,Europe & Central Asia,46.8182,8.2275,33883,30500,1972
,Tanzania,Sub-Saharan Africa,-6.369028,34.888822,509,183,21
,Thailand,East Asia & Pacific,15.870032,100.992541,3261,3105,58
,Timor-Leste,East Asia & Pacific,-8.8742,125.7275,1,24,1
,Togo,Sub-Saharan Africa,8.6195,0.8248,806,578,16
,Trinidad and Tobago,Latin America & Caribbean,10.6918,-61.2225,141,127,8
,Tunisia,Middle East & North Africa,33.886917,9.537499,1394,1108,50
,Turkey,Europe & Central Asia,38.9637,35.2433,222402,205214,5545
,Uganda,Sub-Saharan Africa,1.373333,32.290275,1075,958,1
,Ukraine,Europe & Central Asia,48.3794,31.1656,62295,34176,1553
,United Arab Emirates,Middle East & North Africa,23.424076,53.847818,57734,50354,342
Bermuda,United Kingdom,Europe & Central Asia,32.3078,-64.7505,153,139,9
Cayman Islands,United Kingdom,Europe & Central Asia,19.3133,-81.2546,203,201,1
Channel Islands,United Kingdom,Europe & Central Asia,49.3723,-2.3644,583,529,47
